tick,task
1,muA
2,muA
3,blink1
4,producer
5,muA
6,muA
7,muB
8,blink1
9,producer
10,muB
11,producer
12,blink1
13,producer
14,muB
15,producer
16,blink1
17,muB
18,producer
19,producer
20,blink1
21,producer
22,producer
23,blink1
24,producer
25,producer
26,blink1
27,producer
28,producer
29,blink1
30,producer
31,producer
32,blink1
33,producer
34,producer
35,blink1
36,cpu1
37,consumer
38,blink1
39,cpu1
40,blink1
41,consumer
42,cpu1
43,blink1
44,cpu1
45,consumer
46,cpu1
47,consumer
48,cpu1
49,cpu1
50,consumer
51,cpu1
52,consumer
53,cpu1
54,cpu1
55,consumer
56,cpu1
57,consumer
58,idle
59,consumer
60,consumer
61,idle
62,consumer
63,consumer
64,idle
65,consumer
66,consumer
67,idle
68,consumer
69,consumer
70,idle
71,consumer
72,idle
73,idle
74,idle
75,idle
76,idle
77,idle
78,idle
79,idle
80,idle
